3, 7, 5, 1, 0, 2, 2, 3, 3, 3, 0, 2, 2, 5, 0, 3, -1, 3, 0, 4, 0, 4, 0, 4, 8, 6, 0, 4, -1, 10, 4, 3, 0, 6, 6, 5, 5, 1, 7, 1, -3, 3, 3, 2, 8, 3, 4, 4, 5, 2
4, 1, 3, 3, 5, 0, 5, 5, 2, 5, 5, 1, 4, 3, 5, 7, 4, 9, 1, 5, 3, 1, 10, 3, 4, 1, 1, 3, 6, 0, 9, 6, 1, 4, 5, 6, 3, 4, 3, 2, 5, 2, 4, 1, 9, 0, 6, 0, 10, 9
-2, 6, 3, 7, 0, 7, 7, 12, 15, 6, 1, 12, 0, 1, 9, 2, 5, 5, 12, 5, 10, 3, 9, 7, 1, 13, 5, 7, 2, 4, 8, 11, 7, 8, 2, 6, 8, 3, 1, 13, 10, 13, 10, 11, 11, 5, -1, 15, 12, 3
7, 19, 13, 9, 15, 12, 7, 9, 14, 14, 1, 3, 12, 8, 8, 22, 6, 6, 15, 17, 8, 17, 15, 19, 14, 11, 22, 4, 11, 7, 1, 2, 11, 9, 13, 9, 17, 14, 7, 10, 11, 10, 21, 5, 9, 18, 16, 4, 11, 15
15, 20, 6, 10, 14, 20, 9, 15, 14, 15, 25, 9, 12, 12, 12, 15, 11, 10, 23, 16, 16, 17, 19, 13, 5, 14, 21, 14, 21, 15, 15, 8, 10, 12, 8, 18, 14, 12, 13, 11, 11, 18, 28, 13, 14, 18, 13, 21, 14, 10
20, 20, 18, 20, 18, 15, 20, 17, 17, 17, 21, 18, 22, 12, 20, 18, 18, 27, 19, 20, 19, 22, 10, 11, 15, 17, 17, 15, 30, 16, 16, 24, 21, 19, 18, 23, 24, 21, 18, 19, 12, 21, 16, 14, 26, 17, 20, 20, 16, 8
20, 20, 23, 33, 15, 15, 17, 27, 26, 26, 27, 30, 23, 28, 17, 26, 17, 22, 22, 21, 21, 25, 24, 17, 24, 19, 32, 25, 31, 21, 24, 25, 16, 27, 17, 27, 24, 21, 20, 24, 31, 25, 18, 19, 27, 23, 23, 22, 29, 27
33, 27, 28, 26, 17, 30, 26, 28, 22, 24, 22, 33, 26, 32, 24, 8, 30, 19, 27, 20, 23, 35, 28, 23, 26, 22, 34, 28, 26, 17, 24, 22, 24, 26, 31, 13, 21, 19, 24, 29, 28, 32, 30, 26, 18, 25, 44, 38, 29, 28
19, 22, 17, 12, 20, 11, 20, 20, 18, 19, 15, 18, 10, 16, 17, 16, 11, 20, 13, 18, 14, 19, 11, 17, 13, 22, 25, 20, 16, 15, 12, 13, 8, 26, 20, 17, 20, 11, 14, 17, 15, 19, 18, 13, 17, 10, 16, 16, 21, 19
14, 8, 8, 14, 11, 14, 16, 14, 16, 12, 13, 10, 7, 10, 11, 15, 16, 15, 23, 16, 8, 15, 13, 9, 13, 14, 11, 5, 10, 13, 16, 13, 9, 11, 15, 6, 3, 15, 16, 12, 12, 10, 10, 12, 18, 15, 17, 12, 15, 6
0, 11, 2, 8, 7, 6, 8, 8, 11, 5, 5, 9, 10, 10, 5, 4, 5, 13, 10, 11, 12, 9, 7, 10, 5, 9, 3, 9, 6, 2, 10, 7, 7, 5, 3, 12, 8, 8, 4, 4, 9, 3, 7, 9, 1, 11, 2, 8, 8, 4
7, 6, 7, 6, 2, 3, 2, 2, 4, 5, 6, -1, 10, 1, 4, 4, 1, 2, 1, 4, 3, 6, 4, 4, 2, 3, 0, 3, 5, 0, 4, 6, 9, 5, 3, 1, 7, 4, 1, 4, 3, 3, 2, 5, 7, 0, 0, 1, 3, 4
